,sport_x,league_x,sportsbook_x,startdate_x,awayteam,hometeam,description_x,islive_x,home_decimal_odds_x,away_decimal_odds_x,sport_y,league_y,sportsbook_y,startdate_y,description_y,islive_y,home_decimal_odds_y,away_decimal_odds_y,sport,league,sportsbook,startdate,description,islive,home_decimal_odds,away_decimal_odds,best_away,best_home,cum_prob,log_time,best_book_home,best_book_away
651552,Martial Arts,UFC,BetOnline,2021-06-12T00:00:01Z,carlos canada,manuel torres,Carlos Canada vs Manuel Torres,0,1.2857142857142856,3.75,,,,,,,,,,,,,,,,,3.75,1.2857142857142856,1.0444444444444445,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651553,Martial Arts,UFC,BetOnline,2021-06-12T00:00:01Z,alexander barahona,aaroon canarte,Alexander Barahona vs Aaroon Canarte,0,1.2,4.75,,,,,,,,,,,,,,,,,4.75,1.2,1.043859649122807,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651554,Martial Arts,UFC,BetOnline,2021-06-12T00:00:01Z,paul marquez,braian gonzalez,Paul Marquez vs Braian Gonzalez,0,1.4761904761904763,2.7,,,,,,,,,,,,,,,,,2.7,1.4761904761904763,1.04778972520908,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651555,Martial Arts,UFC,BetOnline,2021-06-12T00:00:01Z,patrick faeh,guilherme antunes,Patrick Faeh vs Guilherme Antunes,0,1.3571428571428572,3.2,,,,,,,,,,,,,,,,,3.2,1.3571428571428572,1.049342105263158,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651556,Martial Arts,UFC,BetOnline,2021-06-12T00:00:01Z,manuel reyna,santiago prieto,Manuel Reyna vs Santiago Prieto,0,1.4166666666666667,2.9,,,,,,,,,,,,,,,,,2.9,1.4166666666666667,1.050709939148073,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651557,Martial Arts,UFC,BetOnline,2021-06-12T00:00:01Z,david enriquez,rene hernandez,David Enriquez vs Rene Hernandez,0,1.2857142857142856,3.75,,,,,,,,,,,,,,,,,3.75,1.2857142857142856,1.0444444444444445,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651558,Martial Arts,UFC,BetOnline,2021-06-12T04:00:01Z,reinaldo ekson,igeu kabesa,Reinaldo Ekson vs Igeu Kabesa,0,1.3846153846153846,3.0,,,,,,,,,,,,,,,,,3.0,1.3846153846153846,1.0555555555555556,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651559,Martial Arts,UFC,BetOnline,2021-06-12T04:00:01Z,anicet kanyeba,alain ilunga,Anicet Kanyeba vs Alain Ilunga,0,1.4081632653061225,2.95,,,,,,,,,,,,,,,,,2.95,1.4081632653061225,1.0491279783836895,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651560,Martial Arts,UFC,BetOnline,2021-06-12T04:00:01Z,luthando biko,gian souza,Luthando Biko vs Gian Souza,0,1.8333333333333335,1.9090909090909092,,,,,,,,,,,,,,,,,1.9090909090909092,1.8333333333333335,1.0692640692640691,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651561,Martial Arts,UFC,BetOnline,2021-06-12T04:00:01Z,ricky misholas,matunga djikasa,Ricky Misholas vs Matunga Djikasa,0,1.8333333333333335,1.9090909090909092,,,,,,,,,,,,,,,,,1.9090909090909092,1.8333333333333335,1.0692640692640691,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651562,Martial Arts,UFC,BetOnline,2021-06-12T04:00:01Z,robert simbowe,rocky ilunga,Robert Simbowe vs Rocky Ilunga,0,1.4444444444444444,2.85,,,,,,,,,,,,,,,,,2.85,1.4444444444444444,1.0431848852901484,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651563,Martial Arts,UFC,BetOnline,2021-06-12T04:00:01Z,francois cundari,mzwandile hlongwa,Francois Cundari vs Mzwandile Hlongwa,0,1.2222222222222223,4.5,,,,,,,,,,,,,,,,,4.5,1.2222222222222223,1.0404040404040402,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651564,Martial Arts,UFC,BetOnline,2021-06-12T04:00:01Z,roderique kena,adrian sanchez,Roderique Kena vs Adrian Sanchez,0,1.625,2.3,,,,,,,,,,,,,,,,,2.3,1.625,1.0501672240802677,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651565,Martial Arts,UFC,BetOnline,2021-06-12T04:00:01Z,elvis ngwalangwala,tapiwa katikati,Elvis Ngwalangwala vs Tapiwa Katikati,0,1.5555555555555556,2.5,,,,,,,,,,,,,,,,,2.5,1.5555555555555556,1.0428571428571427,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651566,Martial Arts,UFC,BetOnline,2021-06-12T04:00:01Z,warren richards,august kayambala,Warren Richards vs August Kayambala,0,1.3076923076923077,3.5,,,,,,,,,,,,,,,,,3.5,1.3076923076923077,1.0504201680672267,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651567,Martial Arts,UFC,BetOnline,2021-06-12T04:00:01Z,jean-marie kabeya,shannon van tonder,Jean-Marie Kabeya vs Shannon van Tonder,0,1.2857142857142856,3.75,,,,,,,,,,,,,,,,,3.75,1.2857142857142856,1.0444444444444445,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651568,Martial Arts,UFC,BetOnline,2021-09-05T03:00:01Z,glover teixeira,jan blachowicz,Glover Teixeira vs Jan Blachowicz,0,1.4166666666666667,3.05,,,,,,,,,Mixed Martial Arts,UFC,BookMaker,2021-09-04T22:00:00Z,Glover Teixeira vs Jan Blachowicz,0,1.4,2.94,3.05,1.4166666666666667,1.033751205400193,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651569,Martial Arts,UFC,BetOnline,2021-12-31T17:00:01Z,francis ngannou,jon jones,Francis Ngannou vs Jon Jones,0,2.6,1.5405405405405406,,,,,,,,,,,,,,,,,1.5405405405405406,2.6,1.0337381916329285,2021-06-11 05:30:15.983200,BetOnline,BetOnline
